college_slno,college_name,course_slno,course_info
15,"AMC GROUP OF EDUCATIONAL INSTITUTIONS,MANISSERY,OTTAPALAM",15.19,POL1MN102 - A Preface to Indian Constitution [Political Science 2024 syllabus]
16,ANSAR ARABIC COLLEGE,16.1,Arabic Linguistics
16,ANSAR ARABIC COLLEGE,16.2,Industry Skills In Arabic
16,ANSAR ARABIC COLLEGE,16.3,B1: Financial Reporting
16,ANSAR ARABIC COLLEGE,16.4,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.1,Translation Studies in Arabic-I ARA1MN101 - Basics of Translation [Arabic 2024 syllabus]
17,ANSAR WOMEN,17.2,Translation Studies in Arabic- II ARA1MN102 - Basics of Arabic Writing [Arabic 2024 syllabus]
17,ANSAR WOMEN,17.3,Basic and Applied Chemistry CHE1MN106 - Coordination Chemistry [Chemistry 2024 syllabus]
17,ANSAR WOMEN,17.5,A1: Entrepreneurial Finance COM1MN101 - Fundamentals of Entrepreneurship [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.6,A2: Entrepreneurial Leadership COM1MN102 - Entrepreneurial Marketing [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.7,B1: Financial Reporting
17,ANSAR WOMEN,17.8,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.9,D1: Digital Marketing COM1MN107 - Essentials of Marketing [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.1,D2: Logistics COM1MN108 - Advertisement and Sales Promotion [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.11,COM1VN101 - Fundamentals of Travel and Tourism [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.12,F2: Hospitality Management COM1VN102 - Foundations of Hospitality [Commerce 2024 syllabus]
17,ANSAR WOMEN,17.13,CSC1MN107 - Computer Hardware Assembly [Computer Science 2024 syllabus]
17,ANSAR WOMEN,17.14,General Computing Principles CSC1MN105 - Introduction to IT [Computer Science 2024 syllabus]
17,ANSAR WOMEN,17.15,English For Content Creation ENG1MN101 - Fundamentals of Content Creation [English 2024 syllabus]
17,ANSAR WOMEN,17.17,Media Production
17,ANSAR WOMEN,17.18,Advertising Media
17,ANSAR WOMEN,17.19,MAT1MN103 - Basic Calculus [Mathematics 2024 syllabus]
17,ANSAR WOMEN,17.2,Semiconductor Physics PHY1MN103 - Semiconductor Physics and Electronics [Physics 2024 syllabus]
17,ANSAR WOMEN,17.21,Development and Wellbeing PSY1MN102 - Growth and Development [Psychology 2024 syllabus]
17,ANSAR WOMEN,17.22,Recent Trends In Psychology PSY1MN105 - Media Psychology [Psychology 2024 syllabus]
17,ANSAR WOMEN,17.23,STA1MN105 - Descriptive Statistics [Statistics 2024 syllabus]
17,ANSAR WOMEN,17.24,STA1MN111 - Fundamentals of Data Analysis [Statistics 2024 syllabus]
17,ANSAR WOMEN,17.25,Human Physiology ZOO1MN102 - Basics in Cellular Physiology [Zoology 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.1,Arabic Linguistics
18,ANWARUL ISLAM ARABIC,18.2,Industry Skills In Arabic
18,ANWARUL ISLAM ARABIC,18.3,ARA1VN101 - Foundational Skills in Arabic [Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.4,ARA1VN102 - Commercial Arabic [Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.5,Translation Studies in Arabic-I ARA1MN101 - Basics of Translation [Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.6,Translation Studies in Arabic- II ARA1MN102 - Basics of Arabic Writing [Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.7,B1: Financial Reporting
18,ANWARUL ISLAM ARABIC,18.8,COM1MN104 - Essentials of Cost Accounting [Commerce 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.9,Applied Translation Studies I FAR1MN101 - Gateway to Translation [Functional Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.1,Applied Translation Studies II FAR1MN102 - Conversational Arabic [Functional Arabic 2024 syllabus]
18,ANWARUL ISLAM ARABIC,18.11,Functional Arabic Group 0 FAR1MN100 - Arabic Syntax for Beginners [Functional Arabic 2024 syllabus]
19,ANWARUL ISLAM ARABIC,19.1,Arabic Linguistics
19,ANWARUL ISLAM ARABIC,19.2,Industry Skills In Arabic
20,ANWARUL ISLAM WOMEN,20.1,Arabic Linguistics
20,ANWARUL ISLAM WOMEN,20.2,Industry Skills In Arabic
